"WineID";"Title";"Grape";"SecondaryGrapeVarieties";"Closure";"Country";"Region";"Appellation";"Type";"Style";"Vintage"
1;"The Guv'nor, Spain";"Tempranillo";"Secondary Grape Varieties";"Natural Cork";"Spain";"";"";"Red";"Rich & Juicy";"NV"
2;"Bread & Butter 'Winemaker's Selection' Chardonnay 2020/21, California";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"USA";"California";"Napa Valley";"White";"Rich & Toasty";"2021"
3;"Oyster Bay Sauvignon Blanc 2022, Marlborough";"Sauvignon Blanc";"Secondary Grape Varieties";"Screwcap";"New Zealand";"Marlborough";"";"White";"Crisp & Zesty";"2022"
4;"Louis Latour Macon-Lugny 2021/22";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"France";"Burgundy";"Macon";"White";"Ripe & Rounded";"2022"
5;"Bread & Butter 'Winemaker's Selection' Pinot Noir 2021, California";"Pinot Noir";"Secondary Grape Varieties";"Natural Cork";"USA";"California";"Napa Valley";"Red";"Smooth & Mellow";"2021"
6;"Louis Roederer 'Cristal' Champagne 2015";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"France";"";"";"White";"";"2015"
7;"La Gioiosa Prosecco DOC, Treviso";"Glera";"Secondary Grape Varieties";"Natural Cork";"Italy";"Prosecco Doc";"";"White";"Light & Refreshing";"NV"
8;"The Macallan Sherry Oak 12 Year Old Single Malt Whisky 70cl";"";"Secondary Grape Varieties";"Natural Cork";"Scotland";"";"";"Brown";"";"NV"
9;"Bouvet Ladubay Saumur Brut";"Chenin Blanc";"Secondary Grape Varieties";"Natural Cork";"France";"Loire";"Saumur";"White";"Rich & Toasty";"NV"
10;"LB7 Red 2020/21, Lisbon";"Castelao ";"Secondary Grape Varieties";"Natural Cork";"Portugal";"Lisboa";"";"Red";"Rich & Juicy";"2021"
11;"The Ned 'Waihopai River' Sauvignon Blanc 2023, Marlborough";"Sauvignon Blanc";"Secondary Grape Varieties";"Screwcap";"New Zealand";"Marlborough";"";"White";"Crisp & Zesty";"2023"
12;"Moet & Chandon 'Brut Imperial' Champagne";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"France";"";"";"White";"Crisp & Fruity";"NV"
13;"Chosen By Majestic Greek White 2022, Peloponnese";"Malagousia";"Secondary Grape Varieties";"Screwcap";"Greece";"Greece";"";"White";"Fresh & Elegant ";"2022"
14;"Miraval Rose 2021/22, Cotes de Provence";"Cinsault";"Secondary Grape Varieties";"Natural Cork";"France";"Provence";"Cotes De Provence";"Rose";"Delicate & Dry";"2022"
15;"Taittinger Brut Reserve Champagne";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"France";"";"";"White";"Crisp & Fruity";"NV"
16;"Peyrassol 'Reserve des Templiers' Rose 2022, Cotes de Provence";"Cinsault";"Secondary Grape Varieties";"Natural Cork";"France";"Provence";"Cotes De Provence";"Rose";"Delicate & Dry";"2022"
17;"Laurent-Perrier 'La Cuvee' Brut Champagne";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"France";"";"";"White";"Crisp & Fruity";"NV"
18;"Heidsieck & Co. Monopole 'Gold Top' Champagne 2018";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"France";"";"";"White";"Rich & Toasty";"2018"
19;"Caves d'Esclans 'Whispering Angel' Rose 2022, Cotes de Provence";"Grenache";"Secondary Grape Varieties";"Natural Cork";"France";"Provence";"Cotes De Provence";"Rose";"Delicate & Dry";"2022"
20;"Two Hands 'Angels' Share' Shiraz 2021/22, McLaren Vale";"Shiraz";"Secondary Grape Varieties";"Screwcap";"Australia";"South Australia";"Mclaren Vale";"Red";"Bold & Spicy";"2022"
21;"Cave de Lugny 'Reserve' Macon-Chardonnay 2021/22";"Chardonnay";"Secondary Grape Varieties";"Screwcap";"France";"Burgundy";"Macon";"White";"Ripe & Rounded";"2022"
22;"Villa Maria 'Private Bin' Sauvignon Blanc 2022, Marlborough";"Sauvignon Blanc";"Secondary Grape Varieties";"Screwcap";"New Zealand";"Marlborough";"";"White";"Crisp & Zesty";"2022"
23;"Nyetimber 'Classic Cuvee' Brut, Sussex";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"England";"Sussex";"";"White";"Rich & Toasty";"NV"
24;"La Gioiosa Prosecco Valdobbiadene DOCG";"Glera";"Secondary Grape Varieties";"Natural Cork";"Italy";"Prosecco Docg";"";"White";"Crisp & Fruity";"NV"
25;"Definition English Sparkling Brut, Hampshire";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"England";"Hampshire";"";"White";"Crisp & Fruity";"NV"
26;"Chapel Down Brut, Kent";"Pinot Noir";"Secondary Grape Varieties";"Natural Cork";"England";"Kent";"";"White";"Crisp & Fruity";"NV"
27;"Mud House Sauvignon Blanc 2022, Marlborough";"Sauvignon Blanc";"Secondary Grape Varieties";"Screwcap";"New Zealand";"Marlborough";"";"White";"Crisp & Zesty";"2022"
28;"Chateau de Berne ?Inspiration? Rose 2021/22, Cotes de Provence";"Grenache";"Secondary Grape Varieties";"Natural Cork";"France";"Provence";"Cotes De Provence";"Rose";"Delicate & Dry";"2022"
29;"Domaine La Chautarde Rose 2022, Coteaux Varois en Provence";"Grenache";"Secondary Grape Varieties";"Screwcap";"France";"Provence";"Coteaux Varois-En-Provence";"Rose";"Delicate & Dry";"2022"
30;"Marques de Riscal Rioja Reserva 2018/19";"Tempranillo";"Secondary Grape Varieties";"Natural Cork";"Spain";"Rioja And Navarra";"Rioja";"Red";"Savoury & Full Bodied";"2019"
31;"Ridgeview 'Cavendish' Brut, Sussex";"Pinot Noir";"Secondary Grape Varieties";"Natural Cork";"England";"Sussex";"";"White";"Rich & Toasty";"NV"
32;"The Ned ?Skyscraper? Sauvignon Blanc 2022, Marlborough";"Sauvignon Blanc";"Secondary Grape Varieties";"Screwcap";"New Zealand";"Marlborough";"";"White";"Crisp & Zesty";"2022"
33;"The Guv'nor VIP, Spain";"Tempranillo";"Secondary Grape Varieties";"Natural Cork";"Spain";"";"";"Red";"Smooth & Mellow";"NV"
34;"Chanoine Freres 'Reserve Privee' Brut Champagne";"Pinot Noir";"Secondary Grape Varieties";"Natural Cork";"France";"";"";"White";"Rich & Toasty";"NV"
35;"Bread & Butter 'Winemaker's Selection' Cabernet Sauvignon 2021, California";"Cabernet Sauvignon";"Secondary Grape Varieties";"Natural Cork";"USA";"California";"Napa Valley";"Red";"Smooth & Mellow";"2021"
36;"Balfour ?The White? 2021, Kent";"Bacchus";"Secondary Grape Varieties";"Screwcap";"England";"Kent";"";"White";"Crisp & Zesty";"2021"
37;"Lanson 'Le Black Creation' Brut Champagne";"Pinot Noir";"Secondary Grape Varieties";"Natural Cork";"France";"";"";"White";"Crisp & Fruity";"NV"
38;"Jas des Vignes Rose Mediterranee 2021/22";"Grenache";"Secondary Grape Varieties";"Screwcap";"France";"Other France";"";"Rose";"Delicate & Dry";"2022"
39;"The Gathering Storm Red 2022, Spain";"Tempranillo";"Secondary Grape Varieties";"Screwcap";"Spain";"";"";"Red";"Soft & Fruity";"2022"
40;"Peyrassol ?Les Commandeurs? Organic Rose, Cotes de Provence 2022";"Grenache";"Secondary Grape Varieties";"Natural Cork";"France";"Provence";"Cotes De Provence";"Rose";"Delicate & Dry";"2022"
41;"Abbotts & Delaunay 'Les Fleurs Sauvages' Viognier 2021/22, Languedoc";"Viognier";"Secondary Grape Varieties";"Screwcap";"France";"Languedoc-Roussillon";"Pays D'Oc";"White";"Aromatic & Floral";"2022"
42;"Beato Bartolomeo Pinot Grigio Superiore, Breganze DOC 2022";"Pinot Grigio";"Secondary Grape Varieties";"Screwcap";"Italy";"Veneto";"";"White";"Smooth & Light";"2022"
43;"Nyetimber Brut Rose, Sussex";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"England";"Sussex";"";"Rose";"Crisp & Fruity";"NV"
44;"Brancott Estate Sauvignon Blanc 2022, Marlborough";"Sauvignon Blanc";"Secondary Grape Varieties";"Screwcap";"New Zealand";"Marlborough";"";"White";"Crisp & Zesty";"2022"
45;"Cave de Lugny 'Les Chenaudieres' Bourgogne Chardonnay 2022";"Chardonnay";"Secondary Grape Varieties";"Screwcap";"France";"Burgundy";"Macon";"White";"Ripe & Rounded";"2022"
46;"The Guv'nor Rose, Spain";"Garnacha";"Secondary Grape Varieties";"Screwcap";"Spain";"";"";"Rose";"Ripe & Fruity";"NV"
47;"Chapel Down English Sparkling Rose, Kent";"Pinot Noir";"Secondary Grape Varieties";"Natural Cork";"England";"Kent";"";"Rose";"Crisp & Fruity";"NV"
48;"Heidsieck & Co. Monopole 'Bronze Top' Brut Champagne";"Pinot Noir";"Secondary Grape Varieties";"Natural Cork";"France";"";"";"White";"Crisp & Fruity";"NV"
49;"Vinalba 'Reserve' Malbec 2020/21, Mendoza";"Malbec";"Secondary Grape Varieties";"Natural Cork";"Argentina";"Mendoza";"Uco Valley";"Red";"Soft & Fruity";"2020/21"
50;"La Raia 'Il Borgo' Organic Gavi 2021";"Cortese";"Secondary Grape Varieties";"Screwcap";"Italy";"Piedmont";"Gavi";"White";"Aromatic & Floral";"2021"
51;"La Marca Extra Dry Prosecco, Conegliano Valdobbiadene DOCG";"Glera";"Secondary Grape Varieties";"Natural Cork";"Italy";"Prosecco Docg";"";"White";"Crisp & Fruity";"2021"
52;"Les Vignobles Foncalieu 'Vallee des Pins' Rose 2021/22, Coteaux d'Aix-en-Provence";"Grenache";"Secondary Grape Varieties";"Screwcap";"France";"Provence";"Coteaux D'Aix-En-Provence";"Rose";"Delicate & Dry";"2022"
53;"Chateau Recougne Bordeaux Superieur 2019/20";"Merlot";"Secondary Grape Varieties";"Natural Cork";"France";"Bordeaux";"Bordeaux Superieur";"Red";"Savoury & Full Bodied";"2020"
54;"Devil's Creek Sauvignon Blanc 2022, Marlborough";"Sauvignon Blanc";"Secondary Grape Varieties";"Screwcap";"New Zealand";"Marlborough";"";"White";"Crisp & Zesty";"2022"
55;"Two Hands 'Tenacity' Old Vine Shiraz 2021/22, Australia";"Shiraz";"Secondary Grape Varieties";"Natural Cork";"Australia";"South Australia";"Mclaren Vale";"Red";"Bold & Spicy";"2022"
56;"Olivier Dubois 'Cuvee Prestige' Pinot Noir 2021/22, France";"Pinot Noir";"Secondary Grape Varieties";"Screwcap";"France";"Other France";"";"Red";"Light & Elegant";"2022"
57;"Saint Clair 'Pioneer Block' Sauvignon Blanc 2020/21, Wairau Valley";"Sauvignon Blanc";"Secondary Grape Varieties";"Screwcap";"New Zealand";"Marlborough";"Wairau Valley";"White";"Crisp & Zesty";"2021"
58;"Domaine de la Tourmaline ?Sur Lie? Muscadet de Sevre et Maine 2021/22";"Melon De Bourgogne";"Secondary Grape Varieties";"Screwcap";"France";"Loire";"Muscadet";"White";"Ripe & Rounded";"2022"
59;"Definition Chablis 2022";"Chardonnay";"Secondary Grape Varieties";"Screwcap";"France";"Burgundy";"Chablis";"White";"Fresh & Elegant ";"2022"
60;"Domaine Jean-Max Roger ?Cuvee Genese? Sancerre 2021/22";"Sauvignon Blanc";"Secondary Grape Varieties";"Natural Cork";"France";"Loire";"Sancerre";"White";"Fresh & Elegant ";"2022"
61;"Nicolas Feuillatte 2012/15 Champagne";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"France";"";"";"White";"Rich & Toasty";"2015"
62;"Chosen by Majestic Prosecco DOC";"Glera";"Secondary Grape Varieties";"Natural Cork";"Italy";"Prosecco Doc";"";"White";"Crisp & Fruity";"NV"
63;"Pommery 'Brut Royal' Champagne";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"France";"";"";"White";"Crisp & Fruity";"NV"
64;"Rocklin Ranch Cabernet Sauvignon 2020/21, Monterey";"Cabernet Sauvignon";"Secondary Grape Varieties";"Natural Cork";"USA";"California";"Monterey";"Red";"Smooth & Mellow";"2021"
65;"Rocklin Ranch Chardonnay 2020/21, Monterey";"Chardonnay";"Secondary Grape Varieties";"Natural Cork";"USA";"California";"Monterey";"White";"Rich & Toasty";"2021"
66;"Rocklin Ranch Pinot Noir 2020/21, Monterey";"Pinot Noir";"Secondary Grape Varieties";"Natural Cork";"USA";"California";"Monterey";"Red";"Light & Elegant";"2021"
67;"Mayu Carmenere Appassimento 2019/20, Chile";"Carmenere";"Secondary Grape Varieties";"Natural Cork";"Chile";"North";"Elqui Valley";"Red";"Rich & Juicy";"2020"
68;"Definition Zinfandel 2019/20, Lodi";"Zinfandel";"Secondary Grape Varieties";"Screwcap";"USA";"California";"Lodi";"Red";"Rich & Juicy";"2020"
69;"Langlois-Chateau 'Classique' Cremant de Loire Brut";"Chenin Blanc";"Secondary Grape Varieties";"Natural Cork";"France";"Loire";"";"White";"Crisp & Fruity";"NV"
70;"Jim Barry 'The Lodge Hill' Shiraz 2020/21, Clare Valley";"Shiraz";"Secondary Grape Varieties";"Screwcap";"Australia";"South Australia";"Clare Valley";"Red";"Bold & Spicy";"2021"
