"PricingVolumeID";"WineID";"Capacity";"Price";"Unit";"ABV";"Per_bottle_Case_Each"
1;1;"75CL";"L9.99 per bottle";10.5;"ABV 14.00%";"per bottle"
2;2;"75CL";"L15.99 per bottle";10.1;"ABV 13.50%";"per bottle"
3;3;"75CL";"L12.49 per bottle";9.8;"ABV 13.00%";"per bottle"
4;4;"75CL";"L17.99 per bottle";10.1;"ABV 13.50%";"per bottle"
5;5;"75CL";"L15.99 per bottle";10.1;"ABV 13.50%";"per bottle"
6;6;"75CL";"L300.00 per bottle";9.0;"ABV 12.00%";"per bottle"
7;7;"75CL";"L12.99 per bottle";8.3;"ABV 11.00%";"per bottle"
8;8;"70CL";"L80.00 per bottle";28.0;"ABV 40.00%";"per bottle"
9;9;"75CL";"L13.99 per bottle";9.4;"ABV 12.50%";"per bottle"
10;10;"75CL";"L8.99 per bottle";10.1;"ABV 13.50%";"per bottle"
11;11;"75CL";"L11.99 per bottle";9.8;"ABV 13.00%";"per bottle"
12;12;"75CL";"L46.99 per bottle";9.0;"ABV 12.00%";"per bottle"
13;13;"75CL";"L11.29 per bottle";9.8;"ABV 13.00%";"per bottle"
14;14;"75CL";"L22.99 per bottle";9.8;"ABV 13.00%";"per bottle"
15;15;"75CL";"L45.99 per bottle";9.4;"ABV 12.50%";"per bottle"
16;16;"75CL";"L15.99 per bottle";9.8;"ABV 13.00%";"per bottle"
17;17;"75CL";"L49.99 per bottle";9.0;"ABV 12.00%";"per bottle"
18;18;"75CL";"L33.99 per bottle";9.4;"ABV 12.50%";"per bottle"
19;19;"75CL";"L23.99 per bottle";10.1;"ABV 13.50%";"per bottle"
20;20;"75CL";"L21.99 per bottle";10.8;"ABV 14.40%";"per bottle"
21;21;"75CL";"L15.99 per bottle";9.8;"ABV 13.00%";"per bottle"
22;22;"75CL";"L12.49 per bottle";9.4;"ABV 12.50%";"per bottle"
23;23;"75CL";"L42.99 per bottle";9.0;"ABV 12.00%";"per bottle"
24;24;"75CL";"L15.99 per bottle";8.3;"ABV 11.00%";"per bottle"
25;25;"75CL";"L29.99 per bottle";9.0;"ABV 12.00%";"per bottle"
26;26;"75CL";"L29.99 per bottle";9.8;"ABV 13.00%";"per bottle"
27;27;"75CL";"L11.99 per bottle";9.4;"ABV 12.50%";"per bottle"
28;28;"75CL";"L17.99 per bottle";9.8;"ABV 13.00%";"per bottle"
29;29;"75CL";"L13.99 per bottle";9.8;"ABV 13.00%";"per bottle"
30;30;"75CL";"L17.99 per bottle";10.9;"ABV 14.50%";"per bottle"
31;31;"750ML";"L39.99 per bottle";9.0;"ABV 12.00%";"per bottle"
32;32;"75CL";"L14.99 per bottle";10.1;"ABV 13.50%";"per bottle"
33;33;"75CL";"L11.99 per bottle";10.5;"ABV 14.00%";"per bottle"
34;34;"75CL";"L45.99 per bottle";9.4;"ABV 12.50%";"per bottle"
35;35;"75CL";"L15.99 per bottle";10.1;"ABV 13.50%";"per bottle"
36;36;"750ML";"L16.99 per bottle";8.3;"ABV 11.00%";"per bottle"
37;37;"75CL";"L42.99 per bottle";9.4;"ABV 12.50%";"per bottle"
38;38;"75CL";"L11.99 per bottle";9.8;"ABV 13.00%";"per bottle"
39;39;"75CL";"L7.99 per bottle";9.0;"ABV 12.00%";"per bottle"
40;40;"75CL";"L18.99 per bottle";9.8;"ABV 13.00%";"per bottle"
41;41;"75CL";"L11.99 per bottle";10.1;"ABV 13.50%";"per bottle"
42;42;"75CL";"L9.99 per bottle";9.4;"ABV 12.50%";"per bottle"
43;43;"75CL";"L49.99 per bottle";9.0;"ABV 12.00%";"per bottle"
44;44;"75CL";"L12.49 per bottle";10.1;"ABV 13.50%";"per bottle"
